Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.79955832 6154.2113 0.682995297308 0.626891527415 2458018.495 0.127292328955
Si 6155.72631077 6155.116 0.883421371909 1.69751196305 2458018.495 0.127292328955
Ca(a) 6156.54191603 6156.01 0.851605584974 -2.12720846978 2458018.495 0.127292328955
Ca(b) 6167.06839791 6166.422 0.781507480493 3.39863235882 2458018.495 0.267543139138
Sc(a) 6194.18110866 6193.6502 0.900634981087 -2.33353459133 2458018.495 0.351535919569
V(b) 6199.69200362 6199.2273 0.620160812195 -5.56053834832 2458018.495 0.351535919569
Sc(b) 6211.22904093 6210.6865 0.644550394741 -1.84219020783 2458018.495 0.499092240991
V(d) 6216.91410582 6216.3595 0.711793697896 -1.28385791693 2458018.495 0.499092240991
Co 6250.10426101 6249.5426 0.861427055029 -1.08729858008 2458018.495 0.155349096084
V(f) 6252.3674538 6251.8362 0.617089670369 -2.55630698565 2458018.495 0.155349096084
Ti 6261.65401063 6261.1265 0.586590318021 -2.77348640087 2458018.495 0.644861088776
