Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.75814993 6154.2113 0.733911999243 -0.496647574721 2458023.51 0.0433766643581
Si 6155.65934088 6155.116 0.908979996087 -0.671596937763 2458023.51 0.0433766643581
Ca(b) 6166.9505722 6166.422 0.779657532914 -1.43865668194 2458023.51 0.284388094997
V(b) 6199.77253845 6199.2273 0.660486332212 -0.768205900792 2458023.51 0.0403043826436
Sc(b) 6211.23086743 6210.6865 0.737197471285 -0.85896352259 2458023.51 0.165387899523
V(d) 6216.89498669 6216.3595 0.697568728213 -1.31154216101 2458023.51 0.165387899523
Co 6250.10313095 6249.5426 0.866937893386 -0.246545043523 2458023.51 0.0632333295583
V(f) 6252.37695819 6251.8362 0.681955981148 -1.20523058061 2458023.51 0.0632333295583
Ti 6261.64591105 6261.1265 0.618566796674 -2.26657514327 2458023.51 0.0312078223759
La 6262.84708698 6262.2919 0.903896520755 -0.557332779649 2458023.51 0.0312078223759
