Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.60531959 6154.2113 0.702855684223 -4.79168464509 2457596.585 0.071513334817
Si 6155.50512793 6155.116 0.882208312605 -5.03292710923 2457596.585 0.071513334817
Ca(a) 6156.40409012 6156.01 0.876194549839 -4.79385963193 2457596.585 0.071513334817
Ca(b) 6166.81207072 6166.422 0.74631681589 -5.02183382619 2457596.585 0.0958157342598
Sc(a) 6194.03166017 6193.6502 0.893435691888 -5.52232685666 2457596.585 0.0491651647611
V(b) 6199.59350855 6199.2273 0.581078522114 -6.27702295321 2457596.585 0.0491651647611
Sc(b) 6211.06808353 6210.6865 0.666103860462 -5.56705068558 2457596.585 0.0763295918978
V(d) 6216.73520417 6216.3595 0.617463881227 -5.8676081608 2457596.585 0.0763295918978
Co 6249.93927269 6249.5426 0.822791264625 -4.95731719506 2457596.585 0.0383218790026
V(f) 6252.20651049 6251.8362 0.596962815315 -6.22931691647 2457596.585 0.0383218790026
Ti 6261.49165792 6261.1265 0.533687829742 -6.50256783785 2457596.585 0.0470091434114
La 6262.64118049 6262.2919 0.901660131983 -7.26644467567 2457596.585 0.0470091434114
