Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.80178838 6154.2113 0.697124771612 -0.860399325444 2458001.544 0.0477843367971
Si 6155.69584123 6155.116 0.895636697284 -1.38357176224 2458001.544 0.0477843367971
Ca(a) 6156.59543213 6156.01 0.870967385004 -1.11521548707 2458001.544 0.0477843367971
Ca(b) 6167.01798455 6166.422 0.766125137359 -0.650006728367 2458001.544 0.102842447654
Sc(a) 6194.26438729 6193.6502 0.896935792148 0.104207591543 2458001.544 0.0519033954855
V(b) 6199.77256028 6199.2273 0.618469810006 -3.25814964152 2458001.544 0.0519033954855
Sc(b) 6211.25975594 6210.6865 0.675332156891 -1.95453737051 2458001.544 0.114445268412
V(d) 6216.9237276 6216.3595 0.662560720836 -2.41551317679 2458001.544 0.114445268412
Co 6250.14393522 6249.5426 0.841863699017 -0.778796902788 2458001.544 0.0461362284418
V(f) 6252.41693412 6251.8362 0.618707696384 -1.77794925242 2458001.544 0.0461362284418
Ti 6261.68251684 6261.1265 0.571256335209 -3.00361990065 2458001.544 0.0359916088435
