Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.70829401 6154.2113 0.699609099738 -4.65597969039 2457647.53 0.0540368251074
Si 6155.62091101 6155.116 0.883559123656 -4.27366621174 2457647.53 0.0540368251074
Ca(a) 6156.51084157 6156.01 0.873443577766 -4.47555563327 2457647.53 0.0540368251074
Ca(b) 6166.92542731 6166.422 0.735018849275 -4.39097000655 2457647.53 0.0453893768297
V(b) 6199.72075421 6199.2273 0.580183916617 -5.00320748449 2457647.53 0.025188155152
Sc(b) 6211.18221477 6210.6865 0.650008997753 -4.93807350645 2457647.53 0.0968020956328
V(d) 6216.85982332 6216.3595 0.682961452635 -4.73751803969 2457647.53 0.0968020956328
Co 6250.07082721 6249.5426 0.79084074511 -3.52623832769 2457647.53 0.1332013634
V(f) 6252.3325867 6251.8362 0.615638839291 -5.06343624716 2457647.53 0.1332013634
Ti 6261.61221227 6261.1265 0.535137877377 -5.61024198113 2457647.53 0.0660779134281
La 6262.77093838 6262.2919 0.78388298243 -5.93429119893 2457647.53 0.0660779134281
