Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.72013489 6154.2113 0.70965477624 -4.77577105261 2457630.522 0.0219608103434
Si 6155.61466727 6155.116 0.89154037328 -5.27498586249 2457630.522 0.0219608103434
Ca(a) 6156.54647147 6156.01 0.885363639778 -3.43620878084 2457630.522 0.0219608103434
Ca(b) 6166.92961154 6166.422 0.755665138169 -4.88440448829 2457630.522 0.0246874434004
Sc(a) 6194.13870458 6193.6502 0.901883589252 -5.91844851994 2457630.522 0.064041044465
V(b) 6199.7138255 6199.2273 0.575906196814 -6.03550937681 2457630.522 0.064041044465
Sc(b) 6211.18111314 6210.6865 0.679174140151 -5.68828661329 2457630.522 0.0401474733075
V(d) 6216.84675632 6216.3595 0.648578939659 -6.06512814952 2457630.522 0.0401474733075
Co 6250.06200662 6249.5426 0.823408397541 -4.64665756392 2457630.522 0.0775945358333
V(f) 6252.33066746 6251.8362 0.603034459822 -5.85253293382 2457630.522 0.0775945358333
Ti 6261.60357987 6261.1265 0.57993488871 -6.72086107271 2457630.522 0.0587128622771
