Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.74068827 6154.2113 0.621297136826 -3.71585315748 2457640.552 0.268887700985
Si 6155.59152178 6155.116 0.882239686542 -6.34509585303 2457640.552 0.268887700985
Ca(a) 6156.54443125 6156.01 0.86027597497 -3.47763445505 2457640.552 0.268887700985
Ca(b) 6166.90366674 6166.422 0.698653568382 -6.08863413635 2457640.552 0.104138031672
Sc(a) 6194.20540414 6193.6502 0.907539668481 -2.62974153361 2457640.552 0.0935050261279
V(b) 6199.71383454 6199.2273 0.608429863122 -5.97707183621 2457640.552 0.0935050261279
Sc(b) 6211.18619651 6210.6865 0.658203419111 -5.38474048318 2457640.552 0.202674300281
V(d) 6216.87864916 6216.3595 0.63222499861 -4.46798772847 2457640.552 0.202674300281
Co 6250.09970876 6249.5426 0.812552768412 -2.77882246935 2457640.552 0.0945411533816
V(f) 6252.34757995 6251.8362 0.609878416411 -4.98297178111 2457640.552 0.0945411533816
Ti 6261.71196079 6261.1265 0.606796668489 -1.46982180051 2457640.552 0.0523456250176
La 6262.80995912 6262.2919 0.843320714284 -4.70397189762 2457640.552 0.0523456250176
