Line Antares_WL Other_WL Intensity Velocity Julian day
Ca(b) 6165.75000487 6166.422 0.743361819391 -5.81995197533 2457109.786 0.297906355082
Sc(a) 6193.01480953 6193.6502 0.902410709037 -3.90321984744 2457109.786 0.0244928445296
V(b) 6198.54872831 6199.2273 0.620260356557 -5.96520646836 2457109.786 0.0244928445296
Sc(b) 6210.01019702 6210.6865 0.688400484196 -5.79503037586 2457109.786 0.155976045202
V(d) 6215.6848231 6216.3595 0.661678453191 -5.68674359533 2457109.786 0.155976045202
Co 6248.87915372 6249.5426 0.830156462338 -4.97475197844 2457109.786 0.031136965529
V(f) 6251.14537741 6251.8362 0.619186880696 -6.27674510621 2457109.786 0.031136965529
Ti 6260.44039977 6261.1265 0.552704697762 -6.00128703503 2457109.786 0.0388051565578
La 6261.60121393 6262.2919 0.744575774081 -6.21485712744 2457109.786 0.0388051565578
