Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.79201612 6154.2113 0.711940752185 -0.9167689132 2458008.496 0.0387445626455
Ca(a) 6156.60464275 6156.01 0.846303572492 -0.246355357436 2458008.496 0.0387445626455
Ca(b) 6167.00699985 6166.422 0.75318178506 -0.764418547309 2458008.496 0.0637847220467
Sc(a) 6194.23930647 6193.6502 0.904610306221 -0.69062449616 2458008.496 0.0381632903465
V(b) 6199.76941861 6199.2273 0.609340438388 -2.99018463066 2458008.496 0.0381632903465
Sc(b) 6211.25442817 6210.6865 0.663835816571 -1.79188940568 2458008.496 0.224897479965
V(d) 6216.91469827 6216.3595 0.663958070071 -2.43126617434 2458008.496 0.224897479965
Co 6250.1474487 6249.5426 0.86716067062 -0.190137375893 2458008.496 0.069871875384
V(f) 6252.40166477 6251.8362 0.673088088621 -2.09066296412 2458008.496 0.069871875384
Ti 6261.68110125 6261.1265 0.59278411332 -2.6514472466 2458008.496 0.0307659515454
La 6262.86085272 6262.2919 0.882736464299 -1.96887406907 2458008.496 0.0307659515454
