Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.68471556 6154.2113 0.660218718508 -4.88736097159 2457612.658 0.0591372112992
Si 6155.59106705 6155.116 0.861573055482 -4.8102593136 2457612.658 0.0591372112992
Ca(a) 6156.48307063 6156.01 0.862567149855 -4.91091323828 2457612.658 0.0591372112992
Ca(b) 6166.89496259 6166.422 0.739900818991 -4.9550960786 2457612.658 0.0740705355332
Sc(a) 6194.12923589 6193.6502 0.892715020378 -4.76208059112 2457612.658 0.0226100261549
V(b) 6199.66948098 6199.2273 0.561076111198 -6.56647921347 2457612.658 0.0226100261549
Sc(b) 6211.16155493 6210.6865 0.679753352107 -5.01802304893 2457612.658 0.0405936666482
V(d) 6216.82623231 6216.3595 0.617944396407 -5.44061198247 2457612.658 0.0405936666482
Co 6250.02344857 6249.5426 0.807403168133 -4.88257951232 2457612.658 0.0362095489614
V(f) 6252.29194102 6251.8362 0.620029618117 -6.0958561797 2457612.658 0.0362095489614
Ti 6261.57501339 6261.1265 0.541485054713 -6.47461525283 2457612.658 0.0441267274345
