Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.72034034 6154.2113 0.694556393736 -4.62275562428 2457627.521 0.019496149811
Si 6155.6196364 6155.116 0.880380193828 -4.88979070984 2457627.521 0.019496149811
Ca(a) 6156.52289783 6156.01 0.872788520819 -4.44201969915 2457627.521 0.019496149811
Ca(b) 6166.93341427 6166.422 0.715713848145 -4.55639951805 2457627.521 0.0330608937282
Sc(a) 6194.20866192 6193.6502 0.893908465724 -2.38694543086 2457627.521 0.0568799031636
V(b) 6199.70417363 6199.2273 0.58874928715 -6.35959339101 2457627.521 0.0568799031636
Sc(b) 6211.18349877 6210.6865 0.680169462195 -5.43005168372 2457627.521 0.0487755514535
V(d) 6216.86403593 6216.3595 0.64485275407 -5.08821865378 2457627.521 0.0487755514535
Co 6250.0644077 6249.5426 0.822846459069 -4.38839715146 2457627.521 0.118942422737
V(f) 6252.3239015 6251.8362 0.610256301753 -6.03420363397 2457627.521 0.118942422737
Ti 6261.61357088 6261.1265 0.540747481798 -6.09914473177 2457627.521 0.102103706216
La 6262.81339507 6262.2919 0.818108171167 -4.4543703109 2457627.521 0.102103706216
