Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.71736977 6154.2113 0.698330808573 -4.72456270897 2457627.504 0.0706235869354
Si 6155.61581429 6155.116 0.882889261417 -5.0330800872 2457627.504 0.0706235869354
Ca(a) 6156.53064444 6156.01 0.863798876259 -4.02150521209 2457627.504 0.0706235869354
Ca(b) 6166.94123146 6166.422 0.756644690391 -4.13308864899 2457627.504 0.39681926677
V(b) 6199.71346803 6199.2273 0.591867784131 -5.86680848395 2457627.504 0.0211273545648
Sc(b) 6211.18948704 6210.6865 0.659163776422 -5.09779508805 2457627.504 0.129361493245
V(d) 6216.85388333 6216.3595 0.639276543816 -5.53518066287 2457627.504 0.129361493245
Co 6250.06201181 6249.5426 0.819823012762 -4.46040815672 2457627.504 0.0106544263986
V(f) 6252.33719362 6251.8362 0.603273968472 -5.35336917334 2457627.504 0.0106544263986
Ti 6261.61474015 6261.1265 0.551944973795 -6.00011929688 2457627.504 0.0745434836542
La 6262.7328231 6262.2919 0.874814404824 -8.27123343992 2457627.504 0.0745434836542
