Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.72874235 6154.2113 0.69632988724 -4.21218207127 2457640.509 0.0313233984045
Si 6155.62988078 6155.116 0.874281008644 -4.38948032924 2457640.509 0.0313233984045
Ca(a) 6156.52746439 6156.01 0.889256881298 -4.21847830066 2457640.509 0.0313233984045
Ca(b) 6166.94884794 6166.422 0.744130750429 -3.80454287223 2457640.509 0.100410026706
V(b) 6199.73467177 6199.2273 0.585205551466 -4.88269313583 2457640.509 0.0313054317738
Sc(b) 6211.19689299 6210.6865 0.675413637102 -4.78205921577 2457640.509 0.075386061392
V(d) 6216.87864309 6216.3595 0.672255426561 -4.38228053051 2457640.509 0.075386061392
Co 6250.07653326 6249.5426 0.820918771466 -3.8053275921 2457640.509 0.0664742226404
V(f) 6252.34034003 6251.8362 0.624401103304 -5.24438593412 2457640.509 0.0664742226404
Ti 6261.61760083 6261.1265 0.569219884651 -5.90505071047 2457640.509 0.0559755373724
La 6262.81415423 6262.2919 0.853281603319 -4.41700197741 2457640.509 0.0559755373724
