Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.76406999 6154.2113 0.734549133326 -0.182061982633 2458023.493 0.0401500705689
Ca(b) 6166.93784373 6166.422 0.785557444695 -2.03190407291 2458023.493 0.127685565062
V(b) 6199.76674367 6199.2273 0.668176666703 -1.02263333735 2458023.493 0.0631694312434
Sc(b) 6211.23775655 6210.6865 0.745182170109 -0.500192320135 2458023.493 0.0659282535498
V(d) 6216.89905711 6216.3595 0.711536410281 -1.08910465399 2458023.493 0.0659282535498
Co 6250.08256626 6249.5426 0.864719748201 -1.20772266087 2458023.493 0.0673102976028
V(f) 6252.39254394 6251.8362 0.674716038045 -0.431334015869 2458023.493 0.0673102976028
Ti 6261.64777516 6261.1265 0.621345476999 -2.15125712117 2458023.493 0.0751147830459
La 6262.8660731 6262.2919 0.903963961108 0.378212132635 2458023.493 0.0751147830459
