Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.77932448 6154.2113 0.707874594178 -0.911449765858 2458015.559 0.0202641316307
Si 6155.64519007 6155.116 0.900767906487 -2.8083061789 2458015.559 0.0202641316307
Ca(a) 6156.59334994 6156.01 0.856165939539 -0.172686292555 2458015.559 0.0202641316307
Ca(b) 6166.99159586 6166.422 0.767185113999 -0.889831456786 2458015.559 0.303879752397
V(b) 6199.77146664 6199.2273 0.639004226076 -2.26707438373 2458015.559 0.0620552435929
Sc(b) 6211.25085665 6210.6865 0.686718334892 -1.34040710287 2458015.559 0.153351849862
V(d) 6216.91598811 6216.3595 0.667431620566 -1.74501884562 2458015.559 0.153351849862
Co 6250.12662924 6249.5426 0.854470158056 -0.565544904174 2458015.559 0.0332461642017
V(f) 6252.39255917 6251.8362 0.6359648244 -1.90360327193 2458015.559 0.0332461642017
Ti 6261.6804661 6261.1265 0.612623546663 -2.05788039579 2458015.559 0.0451141703915
La 6262.83549415 6262.2919 0.878570836786 -2.55969614158 2458015.559 0.0451141703915
