Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.72851023 6154.2113 0.701250132448 -4.46449746521 2457630.565 0.0383151261115
Si 6155.6236781 6155.116 0.878724990799 -4.93279861362 2457630.565 0.0383151261115
Ca(a) 6156.52942816 6156.01 0.881681737207 -4.36377779816 2457630.565 0.0383151261115
Ca(b) 6166.93805944 6166.422 0.746906316171 -4.57040962734 2457630.565 0.0406711367596
V(b) 6199.71745192 6199.2273 0.581371721521 -5.957015411 2457630.565 0.0470047845295
Sc(b) 6211.19986799 6210.6865 0.655279112322 -4.87935527133 2457630.565 0.0510757630789
V(d) 6216.86699839 6216.3595 0.633913037556 -5.18525102311 2457630.565 0.0510757630789
Co 6250.07819455 6249.5426 0.805656273871 -3.96657979039 2457630.565 0.104529199291
V(f) 6252.34677233 6251.8362 0.6081060913 -5.176725947 2457630.565 0.104529199291
Ti 6261.62351707 6261.1265 0.552182460425 -5.86257595488 2457630.565 0.028050471722
La 6262.77636022 6262.2919 0.829325365174 -6.46855355891 2457630.565 0.028050471722
