Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6153.62620793 6154.2113 0.730286528152 -0.876545848189 2457788.887 0.0357750011901
Si 6154.50703509 6155.116 0.902586817354 -2.0359148892 2457788.887 0.0357750011901
Ca(a) 6155.41077542 6156.01 0.887220348148 -1.55692993533 2457788.887 0.0357750011901
Ca(b) 6165.84035063 6166.422 0.773986862711 -0.652578648095 2457788.887 0.274988934939
V(b) 6198.6139049 6199.2273 0.672524721396 -2.03910755706 2457788.887 0.0317270205961
Sc(b) 6210.08260756 6210.6865 0.730328062512 -1.52532311585 2457788.887 0.159166966545
V(d) 6215.74790644 6216.3595 0.706075706593 -1.87035655526 2457788.887 0.159166966545
Co 6248.96725744 6249.5426 0.861306708327 0.026536077812 2457788.887 0.0525308035362
V(f) 6251.23218118 6251.8362 0.661202045996 -1.33938811125 2457788.887 0.0525308035362
Ti 6260.49888697 6261.1265 0.651266450155 -2.42689043315 2457788.887 0.0151247068194
La 6261.71805726 6262.2919 0.883785816117 0.154613964955 2457788.887 0.0151247068194
