Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.68467942 6154.2113 0.690387524164 -4.91112264572 2457612.672 0.160716901971
Si 6155.54467058 6155.116 0.889859522263 -7.09362059918 2457612.672 0.160716901971
Ca(a) 6156.48695356 6156.01 0.86367663674 -4.7436869587 2457612.672 0.160716901971
Ca(b) 6166.88170424 6166.422 0.706286387157 -5.62212238751 2457612.672 0.190215918159
Sc(a) 6194.1252665 6193.6502 0.890728479889 -4.97634448434 2457612.672 0.0579303877416
V(b) 6199.6661215 6199.2273 0.574636667873 -6.75105488346 2457612.672 0.0579303877416
Sc(b) 6211.15138324 6210.6865 0.668406539768 -5.53135474073 2457612.672 0.043192592125
V(d) 6216.80586767 6216.3595 0.615061572104 -6.44540456755 2457612.672 0.043192592125
Co 6250.01121056 6249.5426 0.815748017167 -5.49204688609 2457612.672 0.0591434330983
V(f) 6252.30427477 6251.8362 0.599824066098 -5.52600999184 2457612.672 0.0591434330983
Ti 6261.61483117 6261.1265 0.569872947076 -4.58875825213 2457612.672 0.0699910083697
