Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.80625087 6154.2113 0.695346165907 -0.671865991066 2458001.559 0.0551277642306
Si 6155.6914224 6155.116 0.885132722392 -1.62794549514 2458001.559 0.0551277642306
Ca(a) 6156.59223506 6156.01 0.87171273484 -1.30001792975 2458001.559 0.0551277642306
Ca(b) 6167.01175832 6166.422 0.74554570031 -0.98191609205 2458001.559 0.131886514342
Sc(a) 6194.26623827 6193.6502 0.894083619151 0.16486314357 2458001.559 0.0185234942225
V(b) 6199.77823014 6199.2273 0.622966640053 -3.0127673244 2458001.559 0.0185234942225
Sc(b) 6211.27425586 6210.6865 0.664095774273 -1.28313586186 2458001.559 0.0566411275591
V(d) 6216.93506395 6216.3595 0.673105951432 -1.89742367309 2458001.559 0.0566411275591
Co 6250.15277197 6249.5426 0.854173888828 -0.383601754841 2458001.559 0.045942084147
V(f) 6252.40340013 6251.8362 0.638205363069 -2.45639024888 2458001.559 0.045942084147
Ti 6261.68489778 6261.1265 0.564636197634 -2.91853774295 2458001.559 0.0379288906548
