Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.58486706 6154.2113 0.710740565854 -2.97668629058 2458044.487 0.0531324877904
Ca(a) 6156.42368187 6156.01 0.870620637305 -1.02709737062 2458044.487 0.0531324877904
Ca(b) 6166.8447251 6166.422 0.757547102374 -0.621179276004 2458044.487 0.0275252882186
Sc(a) 6194.05761946 6193.6502 0.891763200743 -1.45294406544 2458044.487 0.154646947439
V(b) 6199.57144418 6199.2273 0.659266027067 -4.53278663494 2458044.487 0.154646947439
Sc(b) 6211.09282115 6210.6865 0.664072913136 -1.56012861724 2458044.487 0.210926617088
V(d) 6216.62328692 6216.3595 0.683812080152 -8.45670740917 2458044.487 0.210926617088
Co 6250.00331133 6249.5426 0.865388236252 0.928762598368 2458044.487 0.339317499314
V(f) 6252.18772323 6251.8362 0.661059454594 -4.31884048227 2458044.487 0.339317499314
Ti 6261.46678157 6261.1265 0.576909173799 -4.88251058431 2458044.487 0.655289735539
Na 6154.58486706 6154.2113 0.710740565854 -2.97668629058 2458044.487 0.0531324877904
Ca(a) 6156.42368187 6156.01 0.870620637305 -1.02709737062 2458044.487 0.0531324877904
Ca(b) 6166.8447251 6166.422 0.757547102374 -0.621179276004 2458044.487 0.0275252882186
Sc(a) 6194.05761946 6193.6502 0.891763200743 -1.45294406544 2458044.487 0.154646947439
V(b) 6199.57144418 6199.2273 0.659266027067 -4.53278663494 2458044.487 0.154646947439
Sc(b) 6211.09282115 6210.6865 0.664072913136 -1.56012861724 2458044.487 0.210926617088
V(d) 6216.62328692 6216.3595 0.683812080152 -8.45670740917 2458044.487 0.210926617088
Co 6250.00331133 6249.5426 0.865388236252 0.928762598368 2458044.487 0.339317499314
V(f) 6252.18772323 6251.8362 0.661059454594 -4.31884048227 2458044.487 0.339317499314
Ti 6261.46678157 6261.1265 0.576909173799 -4.88251058431 2458044.487 0.655289735539
