Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.76161799 6154.2113 0.743430513593 -1.27758952301 2458018.527 0.214510359892
Ca(a) 6156.54872063 6156.01 0.889283403537 -1.85060082918 2458018.527 0.214510359892
V(b) 6199.71295901 6199.2273 0.608905521367 -4.601441368 2458018.527 0.296469602759
Sc(b) 6211.26481277 6210.6865 0.657632903017 -0.169273034908 2458018.527 0.296469602759
V(d) 6216.92119906 6216.3595 0.652844704599 -0.996539724643 2458018.527 0.296469602759
V(f) 6252.34528302 6251.8362 0.66490164267 -3.67519210378 2458018.527 0.397420558046
Ti 6261.65344095 6261.1265 0.570238838774 -2.85578225038 2458018.527 0.473670341696
La 6262.94998228 6262.2919 0.90623502549 3.42194743798 2458018.527 0.473670341696
