Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.67282861 6154.2113 0.678491642525 -5.25081503121 2457612.56 0.0136571108805
Si 6155.5639881 6155.116 0.872437411614 -5.91408579791 2457612.56 0.0136571108805
Ca(a) 6156.48690713 6156.01 0.878597055171 -4.50794967528 2457612.56 0.0136571108805
Ca(b) 6166.87556388 6166.422 0.737271629215 -5.68285447259 2457612.56 0.0959254602981
Sc(a) 6194.12432121 6193.6502 0.902944800815 -4.78413155302 2457612.56 0.0544976578938
V(b) 6199.67042726 6199.2273 0.577799861221 -6.304685975 2457612.56 0.0544976578938
Sc(b) 6211.13989589 6210.6865 0.682024271238 -5.84823816093 2457612.56 0.034148720915
V(d) 6216.81457951 6216.3595 0.621896123028 -5.78697346565 2457612.56 0.034148720915
Co 6250.01695778 6249.5426 0.809541858703 -4.97816026816 2457612.56 0.034925854727
V(f) 6252.2968113 6251.8362 0.581740458115 -5.64615123844 2457612.56 0.034925854727
Ti 6261.56960979 6261.1265 0.549683213426 -6.51752706433 2457612.56 0.0453315954381
