Line Antares_WL Other_WL Intensity Velocity Julian day
Ca(b) 6165.75273093 6166.422 0.754573174027 -5.80032763178 2457109.83 0.356085282129
Sc(a) 6192.99214734 6193.6502 0.900870246833 -5.11390198547 2457109.83 0.0594937188031
V(b) 6198.54297816 6199.2273 0.640773086355 -6.35647443584 2457109.83 0.0594937188031
Sc(b) 6210.00255602 6210.6865 0.675711350454 -6.27711977952 2457109.83 0.193171638199
V(d) 6215.66475139 6216.3595 0.666053884587 -6.76839923757 2457109.83 0.193171638199
Co 6248.88998616 6249.5426 0.830189764235 -4.56775720622 2457109.83 0.0590094262857
V(f) 6251.15584665 6251.8362 0.624752654704 -5.88736918329 2457109.83 0.0590094262857
Ti 6260.44730074 6261.1265 0.559694232526 -5.78362903055 2457109.83 0.0498022236593
La 6261.59598548 6262.2919 0.767817893477 -6.57833021055 2457109.83 0.0498022236593
