Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.73352214 6154.2113 0.705357932195 -4.18918110111 2457630.551 0.0327306478997
Si 6155.62002525 6155.116 0.874912432572 -5.0798382173 2457630.551 0.0327306478997
Ca(a) 6156.530546 6156.01 0.878111381191 -4.27830232426 2457630.551 0.0327306478997
Ca(b) 6166.9434333 6166.422 0.739197908022 -4.27796804905 2457630.551 0.156638777787
V(b) 6199.72468253 6199.2273 0.563009925942 -5.5761033721 2457630.551 0.0323566557854
Sc(b) 6211.18853835 6210.6865 0.67381959961 -5.39562028504 2457630.551 0.031061282728
V(d) 6216.86460482 6216.3595 0.615078536613 -5.2697642648 2457630.551 0.031061282728
Co 6250.07583572 6249.5426 0.831309194309 -4.04881190451 2457630.551 0.138721462277
V(f) 6252.33325894 6251.8362 0.615178490379 -5.79417824353 2457630.551 0.138721462277
Ti 6261.6175663 6261.1265 0.609348750524 -6.11670549096 2457630.551 0.132460708889
La 6262.80041224 6262.2919 0.84238156153 -5.28532284154 2457630.551 0.132460708889
