Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.70997071 6154.2113 0.695185528826 -4.59824545777 2457647.545 0.0347286790171
Si 6155.6244048 6155.116 0.883216818669 -4.12737940627 2457647.545 0.0347286790171
Ca(a) 6156.51585207 6156.01 0.87195820911 -4.25537992803 2457647.545 0.0347286790171
Ca(b) 6166.92864962 6166.422 0.741333911243 -4.25820256752 2457647.545 0.210190136852
Sc(a) 6194.15473807 6193.6502 0.897149002753 -4.46883907755 2457647.545 0.017788333103
V(b) 6199.70711709 6199.2273 0.572775645665 -5.68715004921 2457647.545 0.017788333103
Sc(b) 6211.18316253 6210.6865 0.674831649225 -4.91629300939 2457647.545 0.196067982916
V(d) 6216.86533052 6216.3595 0.662637612745 -4.49574189182 2457647.545 0.196067982916
Co 6250.05597964 6249.5426 0.812536467395 -4.26297372855 2457647.545 0.0372449241243
V(f) 6252.32870936 6251.8362 0.632942598782 -5.27349415259 2457647.545 0.0372449241243
Ti 6261.61512423 6261.1265 0.541921337636 -5.49471657895 2457647.545 0.0386363643883
La 6262.77599716 6262.2919 0.796183430755 -5.71594635398 2457647.545 0.0386363643883
