Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.75230006 6154.2113 0.675293169264 -1.02681174132 2458022.542 0.105321346774
Ca(b) 6166.96963352 6166.422 0.767006951079 -0.756312229902 2458022.542 0.112481975744
Sc(a) 6194.20155091 6193.6502 0.909284023791 -0.693379504937 2458022.542 0.0509088930612
V(b) 6199.72531962 6199.2273 0.650915795488 -3.29827263835 2458022.542 0.0509088930612
Sc(b) 6211.21882574 6210.6865 0.682069028897 -1.68562321894 2458022.542 0.13511456375
V(d) 6216.88672552 6216.3595 0.673583550099 -1.95522448151 2458022.542 0.13511456375
Co 6250.09083721 6249.5426 0.856759369139 -1.08168808788 2458022.542 0.0468722824514
V(f) 6252.35330171 6251.8362 0.641007535503 -2.58540782329 2458022.542 0.0468722824514
Ti 6261.63654449 6261.1265 0.601928405164 -2.96037124564 2458022.542 0.0630661398852
La 6262.82202905 6262.2919 0.861483588166 -2.00275243561 2458022.542 0.0630661398852
