Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.75987279 6154.2113 0.727055375238 -0.467663236922 2458023.555 0.0807667145554
Si 6155.62730372 6155.116 0.896827049595 -2.28808623809 2458023.555 0.0807667145554
Ca(b) 6166.95517159 6166.422 0.775363428436 -1.26989358074 2458023.555 0.0828679109609
V(b) 6199.74729997 6199.2273 0.676993754853 -2.04457499714 2458023.555 0.279849146374
Sc(b) 6211.24045758 6210.6865 0.734473280118 -0.450722515672 2458023.555 0.113996336965
V(d) 6216.88904597 6216.3595 0.715513302202 -1.65323991029 2458023.555 0.113996336965
Co 6250.12631279 6249.5426 0.879388078882 0.811264351347 2458023.555 0.240055163938
V(f) 6252.38651376 6251.8362 0.676591691936 -0.801697580018 2458023.555 0.240055163938
Ti 6261.66524269 6261.1265 0.612448421624 -1.39530560979 2458023.555 0.115015888524
La 6262.87623543 6262.2919 0.900431321516 0.784046747774 2458023.555 0.115015888524
