Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.74449218 6154.2113 0.687422599235 -1.34542327364 2458022.499 0.0539500506328
Si 6155.62456873 6155.116 0.868512683103 -2.54938925995 2458022.499 0.0539500506328
Ca(a) 6156.55760827 6156.01 0.882961334069 -0.650480269354 2458022.499 0.0539500506328
Ca(b) 6166.95626029 6166.422 0.765341828172 -1.34492766493 2458022.499 0.123953606671
Sc(a) 6194.18593029 6193.6502 0.906073577688 -1.38799084494 2458022.499 0.134343946325
V(b) 6199.73984684 6199.2273 0.603242319281 -2.53325539836 2458022.499 0.134343946325
Sc(b) 6211.20199864 6210.6865 0.67929785379 -2.43643660718 2458022.499 0.0836393311283
V(d) 6216.86432222 6216.3595 0.651350024795 -2.97440205565 2458022.499 0.0836393311283
Co 6250.07682762 6249.5426 0.853208867692 -1.69219724243 2458022.499 0.106831041169
V(f) 6252.33607382 6251.8362 0.641794981129 -3.35010361857 2458022.499 0.106831041169
Ti 6261.62275328 6261.1265 0.59646252534 -3.55917285418 2458022.499 0.0364193541394
La 6262.80825864 6262.2919 0.882636442701 -2.60043498448 2458022.499 0.0364193541394
