Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.74634494 6154.2113 0.672679641676 -1.29910678142 2458022.527 0.0453187588993
Si 6155.61541875 6155.116 0.87419127974 -3.03935897396 2458022.527 0.0453187588993
Ca(a) 6156.54153099 6156.01 0.901431356068 -1.47797219857 2458022.527 0.0453187588993
Ca(b) 6166.95417949 6166.422 0.747258307887 -1.49015979417 2458022.527 0.337810569058
V(b) 6199.72707435 6199.2273 0.648721907441 -3.19535604192 2458022.527 0.0939108809791
Sc(b) 6211.21235669 6210.6865 0.689338711298 -1.98010303911 2458022.527 0.164968280936
V(d) 6216.87747886 6216.3595 0.677067991012 -2.38346612414 2458022.527 0.164968280936
Co 6250.0871907 6249.5426 0.85997335674 -1.23873301787 2458022.527 0.115744487099
V(f) 6252.34837533 6251.8362 0.64158644977 -2.80380469307 2458022.527 0.115744487099
Ti 6261.63603952 6261.1265 0.600969729236 -2.96656660516 2458022.527 0.0337736514548
La 6262.80912848 6262.2919 0.872118013112 -2.60276419021 2458022.527 0.0337736514548
