Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.79690214 6154.2113 0.699878911087 -0.982589402109 2458002.501 0.0613904419076
Si 6155.67162663 6155.116 0.895550771892 -2.44779016855 2458002.501 0.0613904419076
Ca(a) 6156.62351717 6156.01 0.849247740641 0.369449237273 2458002.501 0.0613904419076
Ca(b) 6167.00837742 6166.422 0.754855102579 -1.00139898497 2458002.501 0.07769013402
Sc(a) 6194.23326672 6193.6502 0.899968257455 -1.28716992112 2458002.501 0.0428061837392
V(b) 6199.78463497 6199.2273 0.614107117773 -2.55781731927 2458002.501 0.0428061837392
Sc(b) 6211.26564624 6210.6865 0.666848648553 -1.55401344758 2458002.501 0.046864109701
V(d) 6216.92514235 6216.3595 0.663452894939 -2.23123775544 2458002.501 0.046864109701
Co 6250.13213206 6249.5426 0.857025748929 -1.22938980885 2458002.501 0.0382798869127
V(f) 6252.40738592 6251.8362 0.632627428646 -2.12012858599 2458002.501 0.0382798869127
Ti 6261.68084281 6261.1265 0.589542048896 -2.96783055197 2458002.501 0.0340014489608
La 6262.86243349 6262.2919 0.874590240152 -2.19714633812 2458002.501 0.0340014489608
