Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.74137203 6154.2113 0.669652840424 -1.52052192845 2458022.513 0.0351415442355
Si 6155.61931185 6155.116 0.866779899102 -2.82860955298 2458022.513 0.0351415442355
Ca(b) 6166.95526534 6166.422 0.755440661274 -1.41633251401 2458022.513 0.129320508939
Sc(a) 6194.17228194 6193.6502 0.898709938757 -2.07207177588 2458022.513 0.140293646356
V(b) 6199.73189639 6199.2273 0.6038848507 -2.94100256453 2458022.513 0.140293646356
Sc(b) 6211.20571142 6210.6865 0.68554860078 -2.28009542648 2458022.513 0.137992971646
V(d) 6216.88295405 6216.3595 0.667066833487 -2.09823485557 2458022.513 0.137992971646
Co 6250.06658948 6249.5426 0.86015776321 -2.20666394265 2458022.513 0.0549766764176
V(f) 6252.34718955 6251.8362 0.628710145956 -2.83970527967 2458022.513 0.0549766764176
Ti 6261.62785913 6261.1265 0.592679629987 -3.33752769067 2458022.513 0.0215663045153
La 6262.808737 6262.2919 0.876277823747 -2.60051833453 2458022.513 0.0215663045153
