Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.79871381 6154.2113 0.706402870342 -0.991275943494 2458002.546 0.0330056412806
Si 6155.68330321 6155.116 0.892663068978 -1.97567414809 2458002.546 0.0330056412806
Ca(a) 6156.61970935 6156.01 0.843510214828 0.0868828946316 2458002.546 0.0330056412806
Ca(b) 6167.03407749 6166.422 0.760681144224 0.151924054342 2458002.546 0.103735173522
V(b) 6199.7838819 6199.2273 0.627704934473 -2.69126089176 2458002.546 0.0695830227467
Sc(b) 6211.26037252 6210.6865 0.682221218491 -1.90575410068 2458002.546 0.161869018439
V(d) 6216.91951416 6216.3595 0.664363687803 -2.59985274565 2458002.546 0.161869018439
Co 6250.15194746 6249.5426 0.84228273515 -0.375181244092 2458002.546 0.0645857358359
V(f) 6252.40595631 6251.8362 0.624341039834 -2.2857293564 2458002.546 0.0645857358359
Ti 6261.68001166 6261.1265 0.589572356794 -3.10465465437 2458002.546 0.040520696633
La 6262.86558321 6262.2919 0.879929223281 -2.14325648683 2458002.546 0.040520696633
