Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.70811813 6154.2113 0.702946771175 -4.16755316119 2457651.543 0.0608832000247
Si 6155.60132861 6155.116 0.882099951437 -4.73111121205 2457651.543 0.0608832000247
Ca(a) 6156.50661377 6156.01 0.882657621195 -4.18458856522 2457651.543 0.0608832000247
Ca(b) 6166.91615278 6166.422 0.729312428645 -4.34518131032 2457651.543 0.135010097208
Sc(a) 6194.12970979 6193.6502 0.903921791785 -5.16012634202 2457651.543 0.0335625962405
V(b) 6199.70685242 6199.2273 0.565843967381 -5.17895817249 2457651.543 0.0335625962405
Sc(b) 6211.17841008 6210.6865 0.653561106701 -4.62485489245 2457651.543 0.0909161744171
V(d) 6216.84158474 6216.3595 0.679337721094 -5.12070734859 2457651.543 0.0909161744171
Co 6250.04626117 6249.5426 0.82408996453 -4.20849436141 2457651.543 0.05150641761
V(f) 6252.31575803 6251.8362 0.613716819588 -5.37397549142 2457651.543 0.05150641761
Ti 6261.60732248 6261.1265 0.543988486269 -5.3475347318 2457651.543 0.0521433174101
La 6262.75383445 6262.2919 0.794529443068 -6.2566681782 2457651.543 0.0521433174101
