Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6153.63868431 6154.2113 0.75623016041 -0.51535844181 2457787.908 0.0419601146197
Ca(b) 6165.84091678 6166.422 0.792801431296 -0.87203480609 2457787.908 0.242927172475
V(b) 6198.64825989 6199.2273 0.677224048179 -0.62356198322 2457787.908 0.0270216017515
Sc(b) 6210.10134326 6210.6865 0.754696655549 -0.867316683991 2457787.908 0.0604226560842
V(d) 6215.75390848 6216.3595 0.698624878299 -1.827699655 2457787.908 0.0604226560842
Co 6248.96989731 6249.5426 0.867727705518 -0.0937412050017 2457787.908 0.0673886639026
V(f) 6251.24736343 6251.8362 0.679697911501 -0.857853888536 2457787.908 0.0673886639026
Ti 6260.53494026 6261.1265 0.621999763238 -0.946407680134 2457787.908 0.0360475918029
La 6261.66426726 6262.2919 0.828784917261 -2.66923795396 2457787.908 0.0360475918029
