Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.6564009 6154.2113 0.700285996785 -5.6016185829 2457609.605 0.0183376584802
Si 6155.5110952 6155.116 0.882865548709 -8.04208253188 2457609.605 0.0183376584802
Ca(a) 6156.47916295 6156.01 0.888254346968 -4.43534563667 2457609.605 0.0183376584802
Ca(b) 6166.86103223 6166.422 0.722736171984 -5.9398280414 2457609.605 0.115288175741
Sc(a) 6194.06305913 6193.6502 0.909174319581 -7.30146457312 2457609.605 0.0377782755735
V(b) 6199.63482059 6199.2273 0.626031425296 -7.57780408107 2457609.605 0.0377782755735
Sc(b) 6211.11610343 6210.6865 0.675262056261 -6.5475050096 2457609.605 0.0237135167353
V(d) 6216.78360368 6216.3595 0.614364461534 -6.83185936113 2457609.605 0.0237135167353
Co 6249.98096122 6249.5426 0.805736572584 -6.256121496 2457609.605 0.0702307933617
V(f) 6252.26703459 6251.8362 0.578404214405 -6.62501354502 2457609.605 0.0702307933617
Ti 6261.54599285 6261.1265 0.551911692152 -7.19912581991 2457609.605 0.0539905777085
