Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6153.63904682 6154.2113 0.763893206423 -0.584687061719 2457787.952 0.0128553460312
Ca(b) 6165.84227428 6166.422 0.792683941756 -0.892991773503 2457787.952 0.211467414452
V(b) 6198.65292575 6199.2273 0.676098999796 -0.484766562994 2457787.952 0.110530314879
Sc(b) 6210.0996543 6210.6865 0.765403310959 -1.03589993223 2457787.952 0.0446131706898
V(d) 6215.75292264 6216.3595 0.699736391303 -1.9622763218 2457787.952 0.0446131706898
Co 6248.99215983 6249.5426 0.86308511291 0.887937861717 2457787.952 0.0474078743884
V(f) 6251.26545647 6251.8362 0.698421148594 -0.0766430667187 2457787.952 0.0474078743884
Ti 6260.53661603 6261.1265 0.632092186327 -0.953113814036 2457787.952 0.0370500148798
La 6261.69478838 6262.2919 0.866178448119 -1.29409989163 2457787.952 0.0370500148798
