Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.60428229 6154.2113 0.70057104009 -4.79925002325 2457596.57 0.029288286718
Si 6155.51102114 6155.116 0.879284490296 -4.70269233747 2457596.57 0.029288286718
Ca(a) 6156.39745274 6156.01 0.876559090129 -5.0743179551 2457596.57 0.029288286718
Ca(b) 6166.81728512 6166.422 0.620499139782 -4.72515031959 2457596.57 0.17418409847
Sc(a) 6194.02911719 6193.6502 0.887445441351 -5.60250007451 2457596.57 0.0269495294479
V(b) 6199.593009 6199.2273 0.572473008114 -6.25819744704 2457596.57 0.0269495294479
Sc(b) 6211.06622622 6210.6865 0.675266795635 -5.61376600755 2457596.57 0.0345394869991
V(d) 6216.73887859 6216.3595 0.612689880617 -5.64728130582 2457596.57 0.0345394869991
Co 6249.9425742 6249.5426 0.829070672539 -4.75583315346 2457596.57 0.0248662764765
V(f) 6252.20797913 6251.8362 0.59784149152 -6.11584302796 2457596.57 0.0248662764765
Ti 6261.49125818 6261.1265 0.551108629347 -6.47872112933 2457596.57 0.0214889633121
La 6262.69567147 6262.2919 0.826434464467 -4.61301152543 2457596.57 0.0214889633121
