Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.75846494 6154.2113 0.684018875335 -0.75329200228 2458022.572 0.0167217082406
Si 6155.62820431 6155.116 0.882471702724 -2.46119126454 2458022.572 0.0167217082406
Ca(a) 6156.5451696 6156.01 0.872117920901 -1.34565247317 2458022.572 0.0167217082406
Ca(b) 6166.98477689 6166.422 0.734055586909 -0.0465786526394 2458022.572 0.14262539731
V(b) 6199.72401776 6199.2273 0.655336711511 -3.38827403648 2458022.572 0.0863397643772
Sc(b) 6211.22416139 6210.6865 0.645554272182 -1.4548908826 2458022.572 0.270822195195
V(d) 6216.89104503 6216.3595 0.664469359395 -1.77376578647 2458022.572 0.270822195195
Co 6250.08500154 6249.5426 0.865785675313 -1.38882044608 2458022.572 0.188502440222
V(f) 6252.37022569 6251.8362 0.623964220688 -1.8002952786 2458022.572 0.188502440222
Ti 6261.64022249 6261.1265 0.586173763832 -2.81114089972 2458022.572 0.0218102446384
La 6262.80824963 6262.2919 0.88183771005 -2.68986641356 2458022.572 0.0218102446384
