Line Antares_WL Other_WL Intensity Velocity Julian day
Ca(b) 6165.76880925 6166.422 0.726401705342 -4.96110814911 2457109.809 0.0388051565578
Sc(a) 6192.97677953 6193.6502 0.907011398106 -5.80126777661 2457109.809 0.0579113304384
V(b) 6198.53931804 6199.2273 0.621250600883 -6.4765989878 2457109.809 0.0579113304384
Sc(b) 6210.00892193 6210.6865 0.680643575811 -5.91262201587 2457109.809 0.182334732161
V(d) 6215.68721875 6216.3595 0.671145375767 -5.6271296485 2457109.809 0.182334732161
Co 6248.87573275 6249.5426 0.825116469583 -5.19497059205 2457109.809 0.0721049346386
V(f) 6251.16137801 6251.8362 0.62157483573 -5.56494211403 2457109.809 0.0721049346386
Ti 6260.4430619 6261.1265 0.560223835729 -5.92973175603 2457109.809 0.0150940367416
La 6261.59629989 6262.2919 0.766534816537 -6.50626804889 2457109.809 0.0150940367416
