Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.72538577 6154.2113 0.710149848426 -4.3418058698 2457640.494 0.17562576824
Si 6155.60993297 6155.116 0.900060931998 -5.32773535219 2457640.494 0.17562576824
Ca(a) 6156.49995334 6156.01 0.870368335742 -5.52517036698 2457640.494 0.17562576824
Ca(b) 6166.9276326 6166.422 0.727953525512 -4.80268150782 2457640.494 0.288981715139
Sc(a) 6194.21414469 6193.6502 0.882926418193 -2.08637818476 2457640.494 0.238961548909
V(b) 6199.6971767 6199.2273 0.633842488423 -6.6631967019 2457640.494 0.238961548909
Sc(b) 6211.19849643 6210.6865 0.691003610078 -4.67060682715 2457640.494 0.154684058935
V(d) 6216.87800467 6216.3595 0.657826312752 -4.37909037574 2457640.494 0.154684058935
Co 6250.09719336 6249.5426 0.833386910312 -2.77957030039 2457640.494 0.561475915138
V(f) 6252.34956741 6251.8362 0.620193223919 -4.7676016948 2457640.494 0.561475915138
Ti 6261.64165242 6261.1265 0.554942213054 -4.7186263735 2457640.494 0.221224249902
La 6262.82156557 6262.2919 0.882256146134 -4.0279558535 2457640.494 0.221224249902
