Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.70511839 6154.2113 0.700392525794 -4.78578168365 2457647.516 0.0380089358758
Si 6155.60512615 6155.116 0.886943608871 -5.01801945164 2457647.516 0.0380089358758
Ca(a) 6156.50519064 6156.01 0.877095360837 -4.72594173423 2457647.516 0.0380089358758
Ca(b) 6166.92543895 6166.422 0.72996668226 -4.36540350458 2457647.516 0.0476398779455
Sc(a) 6194.15472896 6193.6502 0.893546553226 -4.42028020399 2457647.516 0.0324354702494
V(b) 6199.70598259 6199.2273 0.591741650103 -5.69305197569 2457647.516 0.0324354702494
Sc(b) 6211.17595473 6210.6865 0.671308186303 -5.21545735538 2457647.516 0.123805404349
V(d) 6216.86467485 6216.3595 0.673896973554 -4.47838455115 2457647.516 0.123805404349
Co 6250.06587295 6249.5426 0.809930434388 -3.73905993469 2457647.516 0.121992523414
V(f) 6252.32241532 6251.8362 0.628343646098 -5.52651907327 2457647.516 0.121992523414
Ti 6261.60916997 6261.1265 0.551059767271 -5.73101294869 2457647.516 0.075038406158
La 6262.76371692 6262.2919 0.803274051981 -6.25524073678 2457647.516 0.075038406158
