Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.77011081 6154.2113 0.68980218512 -0.732589595147 2458019.556 0.0474582866404
Si 6155.67749825 6155.116 0.877704998399 -0.605607469926 2458019.556 0.0474582866404
Ca(a) 6156.59960749 6156.01 0.887642356988 0.760261657486 2458019.556 0.0474582866404
Ca(b) 6166.99312308 6166.422 0.761173595274 -0.187531721419 2458019.556 0.282652627746
V(b) 6199.74571234 6199.2273 0.649383181096 -2.88540509757 2458019.556 0.0843408593015
Sc(b) 6211.24145964 6210.6865 0.679837296958 -1.1663191019 2458019.556 0.143056050402
V(d) 6216.89532958 6216.3595 0.664892196495 -2.11399443788 2458019.556 0.143056050402
Co 6250.0972805 6249.5426 0.855344575577 -1.3463871983 2458019.556 0.170157498971
V(f) 6252.37210441 6251.8362 0.648036852239 -2.25714323721 2458019.556 0.170157498971
Ti 6261.65036796 6261.1265 0.59970944844 -2.87202386041 2458019.556 0.0545726030307
La 6262.84588907 6262.2919 0.865745932227 -1.43371939708 2458019.556 0.0545726030307
