Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.62180014 6154.2113 0.660025088092 -5.84530551478 2457603.565 0.0716589795319
Ca(b) 6166.82746723 6166.422 0.730492164821 -6.12978434314 2457603.565 0.146391676426
Sc(b) 6211.11465328 6210.6865 0.657894972673 -5.17455312876 2457603.565 0.053108045376
V(d) 6216.78569604 6216.3595 0.580974732381 -5.28788280838 2457603.565 0.053108045376
Co 6249.982605 6249.5426 0.800500362611 -4.73421442186 2457603.565 0.0605539644158
V(f) 6252.21906279 6251.8362 0.590584811339 -7.48398350774 2457603.565 0.0605539644158
Ti 6261.53881681 6261.1265 0.489749798756 -6.09996363602 2457603.565 0.0205925863143
La 6262.69188355 6262.2919 0.766063556174 -6.69447469788 2457603.565 0.0205925863143
