Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.79979214 6154.2113 0.697398280378 -0.80471027577 2458002.486 0.0323653989129
Si 6155.684252 6155.116 0.906920311548 -1.79543018536 2458002.486 0.0323653989129
Ca(a) 6156.60146877 6156.01 0.83373041067 -0.66803249199 2458002.486 0.0323653989129
Ca(b) 6167.01531955 6166.422 0.759671283954 -0.626660456604 2458002.486 0.0854344405344
V(b) 6199.77627483 6199.2273 0.61735236232 -2.92539064206 2458002.486 0.0424429366191
Sc(b) 6211.26617982 6210.6865 0.666998419026 -1.49123915326 2458002.486 0.0589017197055
V(d) 6216.92211266 6216.3595 0.669987115973 -2.34044980151 2458002.486 0.0589017197055
Co 6250.14411567 6249.5426 0.845907608405 -0.617134508938 2458002.486 0.0716120604858
V(f) 6252.40262911 6251.8362 0.643224236886 -2.31138838002 2458002.486 0.0716120604858
Ti 6261.67949941 6261.1265 0.598559514154 -2.99519910567 2458002.486 0.0361061174166
La 6262.8491789 6262.2919 0.875972435833 -2.7951175076 2458002.486 0.0361061174166
