Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.0268674 6154.2113 0.576180664504 -4.33955592694 2457165.674 0.159726393908
Si 6154.85949508 6155.116 0.812089494298 -7.85103521581 2457165.674 0.159726393908
Ca(b) 6166.29863065 6166.422 0.871292239497 -1.35099019929 2457165.674 0.222992872599
Sc(a) 6193.51150702 6193.6502 0.867594443065 -2.06683092794 2457165.674 0.186899853813
V(b) 6199.02989408 6199.2273 0.602240222872 -4.90208989531 2457165.674 0.186899853813
Sc(b) 6210.50812738 6210.6865 0.674287270568 -3.9650825132 2457165.674 0.287555294033
V(d) 6216.16957904 6216.3595 0.671518307657 -4.51453956372 2457165.674 0.287555294033
V(f) 6251.65565182 6251.8362 0.645786457565 -4.01276748931 2457165.674 0.229202032666
Ti 6260.91618766 6261.1265 0.63349356554 -5.42605266984 2457165.674 0.120873082242
La 6262.11039533 6262.2919 0.833203752382 -4.04412333315 2457165.674 0.120873082242
