Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.77257598 6154.2113 0.688992867723 -0.62641966664 2458019.57 0.10441831996
Si 6155.67716968 6155.116 0.871271429152 -0.635622000955 2458019.57 0.10441831996
Ca(b) 6166.98497668 6166.422 0.73395144905 -0.597858811053 2458019.57 0.144354062026
V(b) 6199.74056217 6199.2273 0.657659119871 -3.14863814252 2458019.57 0.174417801222
Sc(b) 6211.23539467 6210.6865 0.687318529883 -1.47328012426 2458019.57 0.348721303689
V(d) 6216.87584568 6216.3595 0.665584202356 -3.06828265095 2458019.57 0.348721303689
Co 6250.13993616 6249.5426 0.826361924805 0.687234386286 2458019.57 0.0676504460913
V(f) 6252.37164713 6251.8362 0.644123827365 -2.29308651836 2458019.57 0.0676504460913
Ti 6261.64562337 6261.1265 0.59023036025 -3.11335941653 2458019.57 0.260465018395
La 6262.83541133 6262.2919 0.875060444284 -1.94966371221 2458019.57 0.260465018395
