Line Antares_WL Other_WL Intensity Velocity Julian day
Na 6154.77661791 6154.2113 0.686359816726 -0.440386943803 2458019.585 0.190224200535
Si 6155.6574554 6155.116 0.860078068109 -1.60749477549 2458019.585 0.190224200535
Ca(b) 6167.00551331 6166.422 0.738600545082 0.390260521414 2458019.585 0.508044811016
V(b) 6199.73102453 6199.2273 0.606441709605 -3.6211945801 2458019.585 0.456293698212
Sc(b) 6211.26511963 6210.6865 0.630807112166 -0.0484505719413 2458019.585 0.530835054301
V(d) 6216.89118862 6216.3595 0.632860551423 -2.33883639348 2458019.585 0.530835054301
Co 6249.99324176 6249.5426 0.86908402724 -6.36561250215 2458019.585 0.145938071838
V(f) 6252.39069831 6251.8362 0.619034822952 -1.38989846097 2458019.585 0.145938071838
Ti 6261.65680169 6261.1265 0.584389300673 -2.58875323434 2458019.585 0.221914222462
La 6262.83338834 6262.2919 0.863310890581 -2.05757693517 2458019.585 0.221914222462
